Year,Game #,Date,Opponent,Score BG,Score Font,Rank BG,Rank Font
2023,g3,10/7/23,at Minnesota,white,white,white,white
2023,g4,10/14/23,Indiana,blue,maize,blue,maize
2023,g5,10/21/23,at Michigan State,white,blue,blue,blue
2023,g6,11/4/23,Purdue,blue,white,blue,white
2023,g7,11/11/23,at Penn State,white,maize,maize,maize
2023,g8,11/18/23,at Maryland,white,blue,blue,white
2023,g9,11/25/23,Ohio State,blue,blue,blue,blue
2023,B1G Championship,12/2/23,vs. Iowa,white,white,white,white
2023,CFP Semis,1/1/24,vs. Alabama,blue,white,maize,white
2023,CFP Final,1/8/24,vs. Washington,blue,blue,blue,blue
2024,nc1,8/31/24,Fresno State,,,,
2024,NC2,9/7/24,Texas,,,,
2024,nc3,9/14/24,Arkansas State,,,,
2024,g1,9/21/24,Southern California,,,,
2024,g2,9/28/24,Minnesota,,,,
2024,g3,10/5/24,at Washington,,,,
2024,g4,10/19/24,at Illinois,,,,
2024,g5,10/26/24,Michigan State,,,,
2024,g6,11/2/24,Oregon,,,,
2024,g7,11/9/24,at Indiana,,,,
2024,g8,11/23/24,Northwestern,,,,
2024,g9,11/30/24,at Ohio State,,,,
2024,ReliaQuest Bowl,12/31/24,vs. Alabama,,,,
2025,nc1,8/30/25,New Mexico,,,,
2025,NC2,9/6/25,at Oklahoma,,,,
2025,nc3,9/13/25,Central Michigan,,,,
2025,g1,9/20/25,at Nebraska,,,,
2025,g2,10/4/25,Wisconsin,,,,
2025,g3,10/11/25,at Southern California,,,,
2025,g4,10/18/25,Washington,,,,
2025,g5,10/25/25,at Michigan State,,,,
2025,g6,11/1/25,Purdue,,,,
2025,g7,11/15/25,at Northwestern,,,,
2025,g8,11/22/25,at Maryland,,,,
2025,g9,11/29/25,Ohio State,,,,
2025,Citrus Bowl,12/31/25,vs. Texas,,,,
2026,nc1,9/5/26,Western Michigan,,,,
2026,NC2,9/12/26,Oklahoma,,,,
2011-12,nc1,11/11/11,Ferris State,,,,
2011-12,nc2,11/14/11,Towson,,,,
2011-12,nc3,11/17/11,Western Illinois,,,,
2011-12,nc4,11/21/11,vs. Memphis,,,,
2011-12,NC5,11/22/11,vs. Duke,,,,
2011-12,NC6,11/23/11,vs. UCLA,,,,
2011-12,NC7,11/29/11,at Virginia,,,,
2011-12,NC8,12/3/11,Iowa State,,,,
2011-12,nc9,12/10/11,at Oakland,,,,
2011-12,nc10,12/13/11,Arkansas-Pine Bluff,,,,
2011-12,nc11,12/17/11,Alabama A&M,,,,
2011-12,nc12,12/22/11,Bradley,,,,
2011-12,g1,12/29/11,Penn State,,,,
2011-12,g2,1/1/12,Minnesota,,,,
2011-12,g3,1/5/12,at Indiana,,,,
2011-12,g4,1/8/12,Wisconsin,,,,
2011-12,g5,1/11/12,Northwestern,,,,
2011-12,g6,1/14/12,at Iowa,,,,
2011-12,g7,1/17/12,Michigan State,,,,
2011-12,NC13,1/21/12,at Arkansas,,,,
2011-12,g8,1/24/12,at Purdue,,,,
2011-12,g9,1/29/12,at Ohio State,,,,
2011-12,g10,2/1/12,Indiana,,,,
2011-12,g11,2/5/12,at Michigan State,,,,
2011-12,g12,2/8/12,at Nebraska,,,,
2011-12,g13,2/12/12,Illinois,,,,
2011-12,g14,2/18/12,Ohio State,,,,
2011-12,g15,2/21/12,at Northwestern,,,,
2011-12,g16,2/25/12,Purdue,,,,
2011-12,g17,3/1/12,at Illinois,,,,
2011-12,g18,3/4/12,at Penn State,,,,
2011-12,BTT Quarters,3/9/12,vs. Minnesota,,,,
2011-12,BTT Semis,3/10/12,vs. Ohio State,,,,
2011-12,NCAA Round 1,3/16/12,vs. Ohio,,,,
2012-13,nc1,11/9/12,Slippery Rock,,,,
2012-13,nc2,11/12/12,IU Indianapolis,,,,
2012-13,nc3,11/13/12,Cleveland State,,,,
2012-13,NC4,11/21/12,vs. Pittsburgh,,,,
2012-13,NC5,11/21/12,vs. Pittsburgh,,,,
2012-13,NC6,11/23/12,vs. Kansas State,,,,
2012-13,NC7,11/27/12,NC State,,,,
2012-13,nc8,12/1/12,at Bradley,,,,
2012-13,nc9,12/4/12,Western Michigan,,,,
2012-13,NC10,12/8/12,Arkansas,,,,
2012-13,nc11,12/11/12,Binghamton,,,,
